Date,Open,High,Low,Close,Volume
2024-03-14,3111.7,3122.4,3061.0,3083.4,11397900
2024-03-15,3221.7,3255.8,3147.7,3153.6,46584300
2024-03-18,3330.8,3350.3,3250.0,3252.9,20861600
2024-03-19,3359.1,3367.8,3307.4,3311.3,18321300
2024-03-21,3458.4,3489.6,3423.3,3446.7,17051400
2024-03-22,3478.9,3521.7,3450.6,3514.9,14125300
2024-03-25,3456.5,3482.8,3441.8,3478.9,10126300
2024-03-26,3430.2,3450.6,3406.8,3414.6,9512500
2024-03-27,3445.7,3478.9,3434.1,3454.5,12999500
2024-03-28,3426.1,3468.4,3409.3,3442.8,11765600
2024-03-29,3437.9,3453.6,3394.6,3405.4,4231400
2024-04-01,3366.1,3458.5,3320.8,3428.0,11828700
2024-04-02,3392.6,3426.1,3370.0,3393.6,10545400
2024-04-03,3381.8,3406.4,3338.5,3369.0,10746700
2024-04-04,3435.9,3490.0,3428.0,3459.5,13294600
2024-04-05,3415.2,3423.1,3379.8,3393.6,9064600
2024-04-08,3464.4,3494.9,3429.0,3437.9,10820500
2024-04-09,3571.7,3571.7,3466.4,3473.3,14535600
2024-04-10,3520.5,3555.9,3509.7,3551.0,9611400
2024-04-11,3538.2,3553.9,3477.2,3485.1,10301100
2024-04-12,3557.9,3579.5,3533.3,3560.8,12530100
2024-04-15,3574.6,3593.3,3485.1,3497.9,12752600
2024-04-16,3434.9,3565.7,3432.0,3551.0,15508300
2024-04-17,3385.7,3479.2,3383.8,3461.5,10556400
2024-04-18,3410.3,3436.9,3331.6,3332.6,9955800
2024-04-19,3395.6,3434.9,3342.5,3409.3,13353800
2024-04-22,3420.2,3483.1,3392.6,3422.1,11761400
2024-04-23,3438.9,3494.9,3413.3,3477.2,9875900
2024-04-24,3500.8,3503.8,3430.0,3434.9,13004900
2024-04-25,3439.8,3509.7,3426.1,3466.4,9014800
2024-04-26,3471.3,3493.9,3431.0,3453.6,7991400
2024-04-30,3560.8,3596.2,3534.3,3541.2,19369000
2024-05-01,3574.6,3618.9,3523.5,3535.3,13087500
2024-05-02,3486.1,3713.3,3473.3,3574.6,44936600
2024-05-07,3410.3,3492.0,3346.4,3486.1,31322100
2024-05-08,3266.7,3389.7,3261.8,3364.1,26595800
2024-05-09,3276.6,3315.9,3262.8,3266.7,13537800
2024-05-10,3329.7,3372.0,3290.3,3290.3,11926600
2024-05-13,3317.9,3347.4,3293.3,3310.0,9469800
2024-05-14,3334.6,3364.1,3304.1,3323.8,8847100
2024-05-15,3337.5,3388.7,3337.5,3361.1,10084500
2024-05-16,3320.8,3370.0,3279.5,3367.1,9929100
2024-05-17,3316.9,3325.7,3275.6,3280.5,7289800
2024-05-20,3352.3,3366.1,3297.2,3297.2,9586900
2024-05-21,3358.2,3383.8,3349.3,3363.1,7490600
2024-05-22,3291.3,3347.4,3291.3,3333.6,9933200
2024-05-23,3276.6,3292.3,3201.8,3271.6,10896500
2024-05-24,3273.6,3279.5,3201.8,3203.8,8184800
2024-05-27,3324.8,3329.7,3290.3,3291.3,5909100
2024-05-28,3331.6,3340.5,3300.2,3319.8,6232000
2024-05-29,3302.1,3346.4,3298.2,3328.7,7516300
2024-05-30,3236.2,3251.0,3207.7,3246.1,10257200
2024-05-31,3249.0,3270.7,3204.7,3207.7,30543700
