Date,Open,High,Low,Close,Volume
2024-03-14,2341.7,2351.2,2292.0,2334.5,3895000
2024-03-15,2365.6,2372.3,2333.1,2340.2,4573000
2024-03-18,2379.9,2400.9,2373.2,2387.1,3277700
2024-03-19,2429.1,2434.9,2378.5,2400.5,4484200
2024-03-21,2508.5,2520.4,2432.0,2445.9,9333300
2024-03-22,2510.9,2530.0,2488.4,2514.2,4771200
2024-03-25,2495.1,2512.8,2479.8,2504.7,3809100
2024-03-26,2494.1,2510.4,2477.9,2495.6,4021700
2024-03-27,2483.2,2502.8,2472.6,2488.4,4058900
2024-03-28,2435.4,2503.6,2431.0,2482.7,4885500
2024-03-29,2474.9,2481.2,2437.8,2452.4,2672000
2024-04-01,2404.2,2470.0,2404.2,2459.8,3359200
2024-04-02,2431.5,2452.0,2420.8,2421.7,2834500
2024-04-03,2420.3,2440.8,2394.9,2422.2,2621000
2024-04-04,2397.9,2433.9,2393.0,2433.9,3697500
2024-04-05,2417.8,2422.2,2371.5,2388.1,3716000
2024-04-08,2418.8,2421.3,2393.0,2410.0,2841400
2024-04-09,2429.5,2440.8,2411.5,2427.1,1855800
2024-04-10,2419.8,2431.5,2412.5,2430.0,1366200
2024-04-11,2432.0,2436.4,2399.3,2407.6,2072800
2024-04-12,2427.6,2449.0,2417.4,2435.9,2126000
2024-04-15,2435.4,2437.8,2394.0,2417.8,2237400
2024-04-16,2350.6,2436.9,2343.3,2436.9,3618800
2024-04-17,2324.3,2359.8,2313.1,2354.0,2799900
2024-04-18,2332.1,2334.0,2307.2,2319.9,2338500
2024-04-19,2288.7,2318.9,2257.0,2318.9,3542200
2024-04-22,2319.9,2347.7,2307.2,2315.0,2219700
2024-04-23,2319.9,2346.7,2311.6,2338.9,1597600
2024-04-24,2324.8,2334.5,2287.2,2299.9,3347100
2024-04-25,2260.4,2311.6,2255.1,2297.5,3911500
2024-04-26,2277.5,2284.8,2250.7,2261.4,2754900
2024-04-30,2301.4,2306.7,2274.1,2304.8,3445500
2024-05-01,2265.8,2284.8,2248.7,2281.9,3644900
